,x,y
1161,3.602,-14.742
1162,4.393,-21.718
1163,4.58,-14.759
1164,4.326,-19.213
1165,-1.441,-18.584
1166,4.185,-21.637
1167,3.685,-21.614
1168,3.299,-21.6
1169,2.585,-21.656
1170,5.222,-14.676
1171,2.39,-21.684
1172,2.058,-14.714
1173,4.053,-21.68
1174,4.012,-14.644
1175,4.098,-19.228
1176,-1.393,-18.471
1177,3.639,-21.586
1178,3.288,-21.589
1179,2.193,-21.641
1180,4.702,-14.784
1181,2.395,-21.721
1182,4.26,-21.699
1183,4.047,-21.625
1184,4.257,-19.234
1185,3.671,-21.588
1186,3.634,-19.2
1187,3.796,-19.22
1188,-1.413,-18.53
1189,3.324,-21.626
1190,3.283,-21.588
1191,2.383,-21.702
1192,3.368,-21.592
1193,0.887,-21.641
1194,3.521,-21.633
1195,2.496,-14.729
1196,-0.857,-14.472
1197,3.28,-21.582
1198,3.348,-19.214
1199,-1.394,-18.522
1200,2.997,-21.678
1201,2.385,-21.685
1202,0.841,-21.656
1203,2.516,-14.727
1204,1.315,-21.647
1205,3.547,-19.224
1206,3.451,-14.737
1207,3.664,-21.615
1208,3.313,-21.638
1209,3.687,-21.643
1210,-0.839,-14.428
1211,2.962,-21.675
1212,3.052,-19.191
1213,-1.408,-18.548
1214,2.807,-21.678
1215,0.851,-21.676
1216,2.85,-19.183
1217,3.149,-19.205
1218,3.115,-14.676
1219,3.283,-21.583
1220,-0.855,-14.498
1221,2.357,-21.708
1222,-1.393,-18.539
1223,-3.481,-14.019
1224,2.585,-21.677
1225,2.676,-19.171
1226,-1.389,-18.496
1227,0.818,-21.632
1228,2.477,-14.731
1229,-0.817,-14.432
1230,2.331,-21.671
1231,2.275,-21.599
1232,1.421,-14.708
1233,0.404,-21.608
1234,0.84,-21.664
1235,2.34,-21.691
1236,2.879,-21.669
1237,2.159,-21.657
1238,-1.399,-18.524
1239,1.999,-21.654
1240,1.424,-14.713
1241,0.804,-21.656
1242,-0.289,-21.617
1243,2.579,-19.161
1244,-0.009,-21.572
1245,2.249,-21.686
1246,2.948,-14.687
1247,-3.304,-14.0
1248,1.831,-21.65
1249,-1.399,-18.477
1250,1.595,-21.646
1251,1.417,-14.707
1252,0.002,-21.607
1253,-3.397,-14.017
1254,-0.781,-14.455
1255,2.094,-21.648
1256,1.337,-21.647
1257,-1.401,-18.528
